Rank,Word,POS,Count
296,pikk,A,999
297,aadress,S,998
298,aru,S,990
299,toetama,V,988
300,samas,D,985
301,kandma,V,985
302,läbi,K,985
303,otsus,S,984
304,tähendama,V,983
305,liiga,D,980
306,õpilane,S,979
307,õige,A,974
308,lubama,V,970
309,maha,D,969
310,mängima,V,966
311,üles,D,964
312,soovitama,V,954
313,ilma,K,945
314,paar,N,944
315,kindel,A,937
316,arv,S,937
317,meel,S,934
318,võimaldama,V,930
319,autor,S,928
320,kasvama,V,927
321,kaudu,K,926
322,jagama,V,924
323,süsteem,S,922
324,materjal,S,921
325,peale,D,918
326,kuuluma,V,903
327,vist,D,900
328,sinna,D,895
329,üsna,D,893
330,tingimus,S,892
331,maja,S,889
332,hiljem,D,884
333,toit,S,883
334,noor,A,880
335,poole,K,880
336,huvi,S,880
337,kolmas,O,878
338,vastama,V,877
339,arvestama,V,874
340,lood,S,868
341,loog,S,866
342,õpetaja,S,863
343,huvitav,A,862
344,proovima,V,860
345,natuke,D,860
346,ühendus,S,859
347,otsustama,V,859
348,liikuma,V,858
349,nimetama,V,857
350,sõber,S,855
351,pea,S,855
352,töötaja,S,851
353,pere,S,847
354,juurde,K,847
355,täiesti,D,843
356,mõlema,P,842
357,väikene,A,842
358,ilmselt,D,840
359,alla,D,831
360,umbes,D,830
361,laen,S,829
362,vastu,D,828
363,ruum,S,821
364,tegu,S,821
365,terve,A,821
366,vanem,S,820
367,alla,K,816
368,leping,S,810
369,piirkond,S,809
370,tekitama,V,808
371,valmistama,V,804
372,varem,D,798
373,film,S,798
374,raske,A,797
375,tase,S,791
376,sisaldama,V,784
377,tõttu,K,784
378,kuhu,D,783
379,pool,S,783
380,abil,K,782
381,pigem,D,781
382,käesolev,A,781
383,alles,D,779
384,vastavalt,K,778
385,korraldama,V,775
386,jah,D,775
387,tegelema,V,774
388,klass,S,773
389,vaba,A,771
390,veidi,D,764
391,leht,S,764
392,nahk,S,759
393,kiri,S,757
394,kutsuma,V,750
395,kinnitama,V,750
396,rahvusvaheline,A,750
397,tagasi,K,745
398,mootor,S,744
399,seade,S,740
400,täitma,V,735
401,programm,S,734
402,sealt,D,732
403,valitsus,S,731
404,vastus,S,728
405,suurus,S,725
406,saamine,S,724
407,hoopis,D,724
408,september,S,720
409,avatud,A,719
410,värv,S,719
411,juhtuma,V,717
412,punkt,S,715
413,vähem,D,715
414,tõesti,D,715
415,tugev,A,712
416,valdkond,S,709
417,miljon,N,709
418,kiire,A,708
419,lõpetama,V,708
420,areng,S,707
421,kaitsma,V,706
422,sisu,S,704
